,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price_predicted(RandomForest)
78,6650000,5700,3,1,1,1,1,1,0,1,2,1,1,0,0,6650000.0
79,6650000,6000,3,2,3,1,1,0,0,1,0,0,1,0,0,6650000.0
80,6629000,6000,3,1,2,1,0,0,1,0,1,1,0,1,0,6629000.0
81,6615000,4000,3,2,2,1,0,1,0,1,1,0,0,1,0,6615000.0
82,6615000,10500,3,2,1,1,0,1,0,1,1,1,1,0,0,6615000.0
83,6580000,6000,3,2,4,1,0,0,0,1,0,0,0,1,0,6580000.0
84,6510000,3760,3,1,2,1,0,0,1,0,2,0,0,1,0,6510000.0
85,6510000,8250,3,2,3,1,0,0,0,1,0,0,1,0,0,6510000.0
86,6510000,6670,3,1,3,1,0,1,0,0,0,1,0,0,1,6510000.0
87,6475000,3960,3,1,1,1,0,1,0,0,2,0,0,1,0,6475000.0
88,6475000,7410,3,1,1,1,1,1,0,1,2,1,0,0,1,6475000.0
89,6440000,8580,5,3,2,1,0,0,0,0,2,0,1,0,0,6440000.0
90,6440000,5000,3,1,2,1,0,0,0,1,0,0,0,1,0,6440000.0
91,6419000,6750,2,1,1,1,1,1,0,0,2,1,1,0,0,6419000.0
92,6405000,4800,3,2,4,1,1,0,0,1,0,0,1,0,0,6405000.0
93,6300000,7200,3,2,1,1,0,1,0,1,3,0,0,1,0,6300000.0
94,6300000,6000,4,2,4,1,0,0,0,0,1,0,0,1,0,6300000.0
95,6300000,4100,3,2,3,1,0,0,0,1,2,0,0,1,0,6300000.0
96,6300000,9000,3,1,1,1,0,1,0,0,1,1,1,0,0,6300000.0
97,6300000,6400,3,1,1,1,1,1,0,1,1,1,0,1,0,6300000.0
98,6293000,6600,3,2,3,1,0,0,0,1,0,1,0,0,1,6293000.0
99,6265000,6000,4,1,3,1,1,1,0,0,0,1,0,0,1,6265000.0
100,6230000,6600,3,2,1,1,0,1,0,1,0,1,0,0,1,6230000.0
101,6230000,5500,3,1,3,1,0,0,0,0,1,1,0,0,1,6230000.0
102,6195000,5500,3,2,4,1,1,0,0,1,1,0,0,1,0,6195000.0
103,6195000,6350,3,2,3,1,1,0,0,1,0,0,1,0,0,6195000.0
104,6195000,5500,3,2,1,1,1,1,0,0,2,1,1,0,0,6195000.0
105,6160000,4500,3,1,4,1,0,0,0,1,0,0,0,0,1,6160000.0
106,6160000,5450,4,2,1,1,0,1,0,1,0,1,0,1,0,6160000.0
107,6125000,6420,3,1,3,1,0,1,0,0,0,1,0,0,1,6125000.0
108,6107500,3240,4,1,3,1,0,0,0,0,1,0,0,1,0,6107500.0
109,6090000,6615,4,2,2,1,1,0,1,0,1,0,0,1,0,6090000.0
110,6090000,6600,3,1,1,1,1,1,0,0,2,1,0,1,0,6090000.0
111,6090000,8372,3,1,3,1,0,0,0,1,2,0,0,0,1,6090000.0
112,6083000,4300,6,2,2,1,0,0,0,0,0,0,1,0,0,6083000.0
113,6083000,9620,3,1,1,1,0,1,0,0,2,1,1,0,0,6083000.0
114,6020000,6800,2,1,1,1,1,1,0,0,2,0,1,0,0,6020000.0
115,6020000,8000,3,1,1,1,1,1,0,1,2,1,0,1,0,6020000.0
116,6020000,6900,3,2,1,1,1,1,0,0,0,1,0,0,1,6020000.0
117,5950000,3700,4,1,2,1,1,0,0,1,0,0,1,0,0,5950000.0
118,5950000,6420,3,1,1,1,0,1,0,1,0,1,1,0,0,5950000.0
119,5950000,7020,3,1,1,1,0,1,0,1,2,1,0,1,0,5950000.0
120,5950000,6540,3,1,1,1,1,1,0,0,2,1,1,0,0,5950000.0
121,5950000,7231,3,1,2,1,1,1,0,1,0,1,0,1,0,5950000.0
122,5950000,6254,4,2,1,1,0,1,0,0,1,1,0,1,0,5950000.0
123,5950000,7320,4,2,2,1,0,0,0,0,0,0,1,0,0,5950000.0
124,5950000,6525,3,2,4,1,0,0,0,0,1,0,1,0,0,5950000.0
125,5943000,15600,3,1,1,1,0,0,0,1,2,0,0,1,0,5943000.0
126,5880000,7160,3,1,1,1,0,1,0,0,2,1,0,0,1,5880000.0
127,5880000,6500,3,2,3,1,0,0,0,1,0,0,0,0,1,5880000.0
128,5873000,5500,3,1,3,1,1,0,0,1,1,0,1,0,0,5873000.0
129,5873000,11460,3,1,3,1,0,0,0,0,2,1,0,1,0,5873000.0
130,5866000,4800,3,1,1,1,1,1,0,0,0,0,0,0,1,5866000.0
131,5810000,5828,4,1,4,1,1,0,0,0,0,0,0,1,0,5810000.0
132,5810000,5200,3,1,3,1,0,0,0,1,0,0,0,1,0,5810000.0
133,5810000,4800,3,1,3,1,0,0,0,1,0,0,0,0,1,5810000.0
134,5803000,7000,3,1,1,1,0,1,0,0,2,1,0,1,0,5803000.0
135,5775000,6000,3,2,4,1,0,0,0,1,0,0,0,0,1,5775000.0
136,5740000,5400,4,2,2,1,0,0,0,1,2,0,0,0,1,5740000.0
137,5740000,4640,4,1,2,1,0,0,0,0,1,0,0,1,0,5740000.0
138,5740000,5000,3,1,3,1,0,0,0,1,0,0,0,1,0,5740000.0
139,5740000,6360,3,1,1,1,1,1,0,1,2,1,1,0,0,5740000.0
140,5740000,5800,3,2,4,1,0,0,0,1,0,0,0,0,1,5740000.0
141,5652500,6660,4,2,2,1,1,1,0,0,1,1,0,1,0,5652500.0
142,5600000,10500,4,2,2,1,0,0,0,0,1,0,0,1,0,5600000.0
143,5600000,4800,5,2,3,0,0,1,1,0,0,0,0,0,1,5600000.0
144,5600000,4700,4,1,2,1,1,1,0,1,1,0,1,0,0,5600000.0
145,5600000,5000,3,1,4,1,0,0,0,0,0,0,1,0,0,5600000.0
146,5600000,10500,2,1,1,1,0,0,0,0,1,0,0,1,0,5600000.0
147,5600000,5500,3,2,2,1,0,0,0,0,1,0,0,1,0,5600000.0
148,5600000,6360,3,1,3,1,0,0,0,0,0,1,0,1,0,5600000.0
149,5600000,6600,4,2,1,1,0,1,0,0,0,1,0,1,0,5600000.0
150,5600000,5136,3,1,2,1,1,1,0,1,0,1,0,0,1,5600000.0
151,5565000,4400,4,1,2,1,0,0,0,1,2,1,0,1,0,5565000.0
152,5565000,5400,5,1,2,1,1,1,0,1,0,1,1,0,0,5565000.0
153,5530000,3300,3,3,2,1,0,1,0,0,0,0,0,1,0,5530000.0
154,5530000,3650,3,2,2,1,0,0,0,0,2,0,0,1,0,5530000.0
155,5530000,6100,3,2,1,1,0,1,0,0,2,1,1,0,0,5530000.0
156,5523000,6900,3,1,1,1,1,1,0,0,0,1,0,1,0,5523000.0
157,5495000,2817,4,2,2,0,1,1,0,0,1,0,1,0,0,5495000.0
158,5495000,7980,3,1,1,1,0,0,0,0,2,0,0,1,0,5495000.0
159,5460000,3150,3,2,1,1,1,1,0,1,0,0,1,0,0,5460000.0
160,5460000,6210,4,1,4,1,1,0,0,1,0,0,1,0,0,5460000.0
161,5460000,6100,3,1,3,1,1,0,0,1,0,1,0,1,0,5460000.0
162,5460000,6600,4,2,2,1,1,1,0,0,0,1,0,1,0,5460000.0
163,5425000,6825,3,1,1,1,1,1,0,1,0,1,0,1,0,5425000.0
164,5390000,6710,3,2,2,1,1,1,0,0,1,1,1,0,0,5390000.0
165,5383000,6450,3,2,1,1,1,1,1,0,0,0,0,0,1,5383000.0
166,5320000,7800,3,1,1,1,0,1,0,1,2,1,0,0,1,5320000.0
167,5285000,4600,2,2,1,1,0,0,0,1,2,0,0,1,0,5285000.0
168,5250000,4260,4,1,2,1,0,1,0,1,0,0,1,0,0,5250000.0
169,5250000,6540,4,2,2,0,0,0,0,1,0,0,0,1,0,5250000.0
170,5250000,5500,3,2,1,1,0,1,0,0,0,0,0,1,0,5250000.0
171,5250000,10269,3,1,1,1,0,0,0,0,1,1,0,1,0,5250000.0
172,5250000,8400,3,1,2,1,1,1,0,1,2,1,0,0,1,5250000.0
173,5250000,5300,4,2,1,1,0,0,0,1,0,1,0,0,1,5250000.0
174,5250000,3800,3,1,2,1,1,1,0,0,1,1,0,0,1,5250000.0
175,5250000,9800,4,2,2,1,1,0,0,0,2,0,0,1,0,5250000.0
176,5250000,8520,3,1,1,1,0,0,0,1,2,0,1,0,0,5250000.0
177,5243000,6050,3,1,1,1,0,1,0,0,0,1,0,1,0,5243000.0
178,5229000,7085,3,1,1,1,1,1,0,0,2,1,0,1,0,5229000.0
179,5215000,3180,3,2,2,1,0,0,0,0,2,0,0,1,0,5215000.0
180,5215000,4500,4,2,1,0,0,1,0,1,2,0,0,1,0,5215000.0
181,5215000,7200,3,1,2,1,1,1,0,0,1,1,1,0,0,5215000.0
182,5145000,3410,3,1,2,0,0,0,0,1,0,0,0,1,0,5145000.0
183,5145000,7980,3,1,1,1,0,0,0,0,1,1,0,1,0,5145000.0
184,5110000,3000,3,2,2,1,1,1,0,0,0,0,1,0,0,5110000.0
185,5110000,3000,3,1,2,1,0,1,0,0,0,0,0,0,1,5110000.0
186,5110000,11410,2,1,2,1,0,0,0,0,0,1,1,0,0,5110000.0
187,5110000,6100,3,1,1,1,0,1,0,1,0,1,0,1,0,5110000.0
188,5075000,5720,2,1,2,1,0,0,0,1,0,1,0,0,1,5075000.0
189,5040000,3540,2,1,1,0,1,1,0,0,0,0,0,1,0,5040000.0
190,5040000,7600,4,1,2,1,0,0,0,1,2,0,1,0,0,5040000.0
191,5040000,10700,3,1,2,1,1,1,0,0,0,0,0,1,0,5040000.0
192,5040000,6600,3,1,1,1,1,1,0,0,0,1,1,0,0,5040000.0
193,5033000,4800,2,1,1,1,1,1,0,0,0,0,0,1,0,5033000.0
194,5005000,8150,3,2,1,1,1,1,0,0,0,0,0,1,0,5005000.0
195,4970000,4410,4,3,2,1,0,1,0,0,2,0,0,1,0,4970000.0
196,4970000,7686,3,1,1,1,1,1,1,0,0,0,0,1,0,4970000.0
197,4956000,2800,3,2,2,0,0,1,0,1,1,0,0,1,0,4956000.0
198,4935000,5948,3,1,2,1,0,0,0,1,0,0,0,1,0,4935000.0
199,4907000,4200,3,1,2,1,0,0,0,0,1,0,1,0,0,4907000.0
200,4900000,4520,3,1,2,1,0,1,0,1,0,0,0,1,0,4900000.0
201,4900000,4095,3,1,2,0,1,1,0,1,0,0,0,1,0,4900000.0
202,4900000,4120,2,1,1,1,0,1,0,0,1,0,0,1,0,4900000.0
203,4900000,5400,4,1,2,1,0,0,0,0,0,0,0,1,0,4900000.0
204,4900000,4770,3,1,1,1,1,1,0,0,0,0,0,1,0,4900000.0
205,4900000,6300,3,1,1,1,0,0,0,1,2,0,0,1,0,4900000.0
206,4900000,5800,2,1,1,1,1,1,0,1,0,0,0,1,0,4900000.0
207,4900000,3000,3,1,2,1,0,1,0,1,0,0,0,1,0,4900000.0
208,4900000,2970,3,1,3,1,0,0,0,0,0,0,0,1,0,4900000.0
209,4900000,6720,3,1,1,1,0,0,0,0,0,0,0,0,1,4900000.0
210,4900000,4646,3,1,2,1,1,1,0,0,2,0,0,1,0,4900000.0
211,4900000,12900,3,1,1,1,0,0,0,0,2,0,1,0,0,4900000.0
212,4893000,3420,4,2,2,1,0,1,0,1,2,0,0,1,0,4893000.0
213,4893000,4995,4,2,1,1,0,1,0,0,0,0,0,1,0,4893000.0
214,4865000,4350,2,1,1,1,0,1,0,0,0,0,0,0,1,4865000.0
215,4830000,4160,3,1,3,1,0,0,0,0,0,0,0,0,1,4830000.0
216,4830000,6040,3,1,1,1,0,0,0,0,2,1,0,1,0,4830000.0
217,4830000,6862,3,1,2,1,0,0,0,1,2,1,1,0,0,4830000.0
218,4830000,4815,2,1,1,1,0,0,0,1,0,1,0,1,0,4830000.0
219,4795000,7000,3,1,2,1,0,1,0,0,0,0,0,0,1,4795000.0
220,4795000,8100,4,1,4,1,0,1,0,1,2,0,0,1,0,4795000.0
221,4767000,3420,4,2,2,1,0,0,0,0,0,0,0,1,0,4767000.0
222,4760000,9166,2,1,1,1,0,1,0,1,2,0,0,1,0,4760000.0
223,4760000,6321,3,1,2,1,0,1,0,1,1,0,1,0,0,4760000.0
224,4760000,10240,2,1,1,1,0,0,0,1,2,1,0,0,1,4760000.0
225,4753000,6440,2,1,1,1,0,0,0,1,3,0,0,1,0,4753000.0
226,4690000,5170,3,1,4,1,0,0,0,1,0,0,0,1,0,4690000.0
227,4690000,6000,2,1,1,1,0,1,0,1,1,0,1,0,0,4690000.0
228,4690000,3630,3,1,2,1,0,0,0,0,2,0,0,1,0,4690000.0
229,4690000,9667,4,2,2,1,1,1,0,0,1,0,0,1,0,4690000.0
230,4690000,5400,2,1,2,1,0,0,0,0,0,1,0,1,0,4690000.0
231,4690000,4320,3,1,1,1,0,0,0,0,0,1,0,1,0,4690000.0
232,4655000,3745,3,1,2,1,0,1,0,0,0,0,1,0,0,4655000.0
233,4620000,4160,3,1,1,1,1,1,0,1,0,0,0,0,1,4620000.0
234,4620000,3880,3,2,2,1,0,1,0,0,2,0,0,1,0,4620000.0
235,4620000,5680,3,1,2,1,1,0,0,1,1,0,0,1,0,4620000.0
236,4620000,2870,2,1,2,1,1,1,0,0,0,1,0,1,0,4620000.0
237,4620000,5010,3,1,2,1,0,1,0,0,0,0,0,1,0,4620000.0
238,4613000,4510,4,2,2,1,0,1,0,0,0,0,0,1,0,4613000.0
239,4585000,4000,3,1,2,1,0,0,0,0,1,0,1,0,0,4585000.0
240,4585000,3840,3,1,2,1,0,0,0,0,1,1,0,1,0,4585000.0
241,4550000,3760,3,1,1,1,0,0,0,0,2,0,0,1,0,4550000.0
242,4550000,3640,3,1,2,1,0,0,0,1,0,0,1,0,0,4550000.0
243,4550000,2550,3,1,2,1,0,1,0,0,0,0,1,0,0,4550000.0
244,4550000,5320,3,1,2,1,1,1,0,0,0,1,0,1,0,4550000.0
245,4550000,5360,3,1,2,1,0,0,0,0,2,1,0,0,1,4550000.0
246,4550000,3520,3,1,1,1,0,0,0,0,0,1,0,1,0,4550000.0
247,4550000,8400,4,1,4,1,0,0,0,0,3,0,0,0,1,4550000.0
248,4543000,4100,2,2,1,1,1,1,0,0,0,0,0,1,0,4543000.0
249,4543000,4990,4,2,2,1,1,1,0,0,0,1,1,0,0,4543000.0
250,4515000,3510,3,1,3,1,0,0,0,0,0,0,0,1,0,4515000.0
251,4515000,3450,3,1,2,1,0,1,0,0,1,0,0,1,0,4515000.0
252,4515000,9860,3,1,1,1,0,0,0,0,0,0,0,1,0,4515000.0
253,4515000,3520,2,1,2,1,0,0,0,0,0,1,1,0,0,4515000.0
254,4480000,4510,4,1,2,1,0,0,0,1,2,0,0,1,0,4480000.0
255,4480000,5885,2,1,1,1,0,0,0,1,1,0,0,0,1,4480000.0
256,4480000,4000,3,1,2,1,0,0,0,0,2,0,1,0,0,4480000.0
257,4480000,8250,3,1,1,1,0,0,0,0,0,0,1,0,0,4480000.0
258,4480000,4040,3,1,2,1,0,0,0,0,1,0,0,1,0,4480000.0
259,4473000,6360,2,1,1,1,0,1,0,1,1,0,1,0,0,4473000.0
260,4473000,3162,3,1,2,1,0,0,0,1,1,0,1,0,0,4473000.0
261,4473000,3510,3,1,2,1,0,0,0,0,0,0,0,1,0,4473000.0
262,4445000,3750,2,1,1,1,1,1,0,0,0,0,0,1,0,4445000.0
263,4410000,3968,3,1,2,0,0,0,0,0,0,0,0,1,0,4410000.0
264,4410000,4900,2,1,2,1,0,1,0,0,0,0,0,1,0,4410000.0
265,4403000,2880,3,1,2,1,0,0,0,0,0,1,0,1,0,4403000.0
266,4403000,4880,3,1,1,1,0,0,0,0,2,1,0,0,1,4403000.0
267,4403000,4920,3,1,2,1,0,0,0,0,1,0,0,1,0,4403000.0
268,4382000,4950,4,1,2,1,0,0,0,1,0,0,0,1,0,4382000.0
269,4375000,3900,3,1,2,1,0,0,0,0,0,0,0,0,1,4375000.0
270,4340000,4500,3,2,3,1,0,0,1,0,1,0,1,0,0,4340000.0
271,4340000,1905,5,1,2,0,0,1,0,0,0,0,0,1,0,4340000.0
272,4340000,4075,3,1,1,1,1,1,0,0,2,0,0,1,0,4340000.0
273,4340000,3500,4,1,2,1,0,0,0,0,2,0,1,0,0,4340000.0
274,4340000,6450,4,1,2,1,0,0,0,0,0,0,0,1,0,4340000.0
275,4319000,4032,2,1,1,1,0,1,0,0,0,0,1,0,0,4319000.0
276,4305000,4400,2,1,1,1,0,0,0,0,1,0,0,1,0,4305000.0
277,4305000,10360,2,1,1,1,0,0,0,0,1,1,0,1,0,4305000.0
278,4277000,3400,3,1,2,1,0,1,0,0,2,1,0,1,0,4277000.0
279,4270000,6360,2,1,1,1,0,0,0,0,0,0,1,0,0,4270000.0
280,4270000,6360,2,1,2,1,0,0,0,0,0,0,0,0,1,4242700.0
281,4270000,4500,2,1,1,1,0,0,0,1,2,0,1,0,0,4270000.0
282,4270000,2175,3,1,2,0,1,1,0,1,0,0,0,0,1,4270000.0
283,4270000,4360,4,1,2,1,0,0,0,0,0,0,1,0,0,4270000.0
284,4270000,7770,2,1,1,1,0,0,0,0,1,0,1,0,0,4270000.0
285,4235000,6650,3,1,2,1,1,0,0,0,0,0,0,1,0,4235000.0
286,4235000,2787,3,1,1,1,0,1,0,0,0,1,1,0,0,4235000.0
287,4200000,5500,3,1,2,1,0,0,0,1,0,0,0,0,1,4200000.0
288,4200000,5040,3,1,2,1,0,1,0,1,0,0,0,0,1,4200000.0
289,4200000,5850,2,1,1,1,1,1,0,0,2,0,0,1,0,4200000.0
290,4200000,2610,4,3,2,0,0,0,0,0,0,0,0,1,0,4200000.0
291,4200000,2953,3,1,2,1,0,1,0,1,0,0,0,0,1,4200000.0
292,4200000,2747,4,2,2,0,0,0,0,0,0,0,0,1,0,4200000.0
293,4200000,4410,2,1,1,0,0,0,0,0,1,0,0,0,1,4200000.0
294,4200000,4000,4,2,2,0,0,0,0,0,0,0,0,1,0,4200000.0
295,4200000,2325,3,1,2,0,0,0,0,0,0,0,0,1,0,4200000.0
296,4200000,4600,3,2,2,1,0,0,0,1,1,0,0,1,0,4200000.0
297,4200000,3640,3,2,2,1,0,1,0,0,0,0,0,0,1,4200000.0
298,4200000,5800,3,1,1,1,0,0,1,0,2,0,0,1,0,4200000.0
299,4200000,7000,3,1,1,1,0,0,0,0,3,0,1,0,0,4200000.0
300,4200000,4079,3,1,3,1,0,0,0,0,0,0,0,1,0,4200000.0
301,4200000,3520,3,1,2,1,0,0,0,0,0,1,0,1,0,4200000.0
302,4200000,2145,3,1,3,1,0,0,0,0,1,1,0,0,1,4200000.0
303,4200000,4500,3,1,1,1,0,1,0,0,0,0,1,0,0,4200000.0
304,4193000,8250,3,1,1,1,0,1,0,0,3,0,0,1,0,4193000.0
305,4193000,3450,3,1,2,1,0,0,0,0,1,0,0,1,0,4193000.0
306,4165000,4840,3,1,2,1,0,0,0,0,1,0,0,1,0,4165000.0
307,4165000,4080,3,1,2,1,0,0,0,0,2,0,0,1,0,4165000.0
308,4165000,4046,3,1,2,1,0,1,0,0,1,0,0,1,0,4165000.0
309,4130000,4632,4,1,2,1,0,0,0,1,0,0,0,1,0,4130000.0
310,4130000,5985,3,1,1,1,0,1,0,0,0,0,0,1,0,4130000.0
311,4123000,6060,2,1,1,1,0,1,0,0,1,0,0,1,0,4123000.0
312,4098500,3600,3,1,1,1,0,1,0,1,0,1,1,0,0,4098500.0
313,4095000,3680,3,2,2,1,0,0,0,0,0,0,0,1,0,4095000.0
314,4095000,4040,2,1,2,1,0,0,0,0,1,0,0,1,0,4095000.0
315,4095000,5600,2,1,1,1,0,0,0,1,0,0,0,1,0,4095000.0
316,4060000,5900,4,2,2,0,0,1,0,0,1,0,0,0,1,4060000.0
317,4060000,4992,3,2,2,1,0,0,0,0,2,0,0,0,1,4060000.0
318,4060000,4340,3,1,1,1,0,0,0,0,0,0,0,1,0,4060000.0
319,4060000,3000,4,1,3,1,0,1,0,1,2,0,0,1,0,4060000.0
320,4060000,4320,3,1,2,1,0,0,0,0,2,1,1,0,0,4060000.0
321,4025000,3630,3,2,2,1,0,0,1,0,2,0,0,1,0,4025000.0
322,4025000,3460,3,2,1,1,0,1,0,1,1,0,1,0,0,4025000.0
323,4025000,5400,3,1,1,1,0,0,0,0,3,0,0,1,0,4025000.0
324,4007500,4500,3,1,2,0,0,1,0,1,0,0,0,1,0,4007500.0
325,4007500,3460,4,1,2,1,0,0,0,1,0,0,0,1,0,4007500.0
326,3990000,4100,4,1,1,0,0,1,0,0,0,0,0,0,1,3990000.0
327,3990000,6480,3,1,2,0,0,0,0,1,1,0,0,1,0,3990000.0
328,3990000,4500,3,2,2,0,0,1,0,1,0,0,0,1,0,3990000.0
329,3990000,3960,3,1,2,1,0,0,0,0,0,0,1,0,0,3990000.0
330,3990000,4050,2,1,2,1,1,1,0,0,0,1,0,0,1,3990000.0
331,3920000,7260,3,2,1,1,1,1,0,0,3,0,1,0,0,3920000.0
332,3920000,5500,4,1,2,1,1,1,0,0,0,0,0,1,0,3920000.0
333,3920000,3000,3,1,2,1,0,0,0,0,0,0,0,1,0,3920000.0
334,3920000,3290,2,1,1,1,0,0,1,0,1,0,1,0,0,3920000.0
335,3920000,3816,2,1,1,1,0,1,0,1,2,0,1,0,0,3920000.0
